fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9203860893698975,0.9842538759689923,23,2,485,121
2,0.9023448884267902,0.9336376083979918,19,6,485,121
3,0.9185615964642971,0.9033555504481728,19,6,485,121
4,0.9223061137569211,0.7767153565250817,17,8,485,121
5,0.9205286423562049,0.8279922311240593,22,3,484,122
