fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9516827440442581,0.9553552423646273,147,33,1488,372
2,0.9512093875428879,0.9638599489375721,140,40,1488,372
3,0.9528841400242387,0.9419684595501292,144,36,1488,372
4,0.9515963153194729,0.9350716278424436,138,42,1488,372
5,0.9560077015142843,0.949304631202093,151,29,1488,372
