fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.935965308866011,0.910294826393982,146,36,1615,404
2,0.9370282224930285,0.9214608645964844,141,41,1616,403
3,0.933099455708413,0.9348943215731164,143,39,1615,404
4,0.9361515211223639,0.9562851208789076,151,31,1615,404
5,0.9361256393375647,0.9467624209835186,147,35,1615,404
