fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9401838594909108,0.9682553686557759,253,76,1630,408
2,0.9449991246425513,0.9256751165788932,270,59,1630,408
3,0.9457449969116488,0.9349736680955297,270,59,1631,407
4,0.945734554766464,0.9256372445755214,263,66,1631,407
5,0.9440726857192738,0.950743144654088,260,69,1630,408
