fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9246908242109778,0.9391773662083854,91,23,1182,296
2,0.9296204130827964,0.9293690768109218,94,20,1182,296
3,0.9290339600588827,0.9156323036122985,91,23,1183,295
4,0.9389324435892712,0.8429815241895778,93,21,1183,295
5,0.9222142459383729,0.9759153590109367,87,27,1182,296
