fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9400872782714839,0.9618364974815963,95,22,1060,265
2,0.9527424903534102,0.8975573666813838,95,22,1060,265
3,0.9472032521342326,0.9492647535142839,95,22,1060,265
4,0.9354014868834066,0.944455623608718,93,24,1060,265
5,0.9383270825863993,0.9393572211643875,90,27,1060,265
