fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9514781372741867,0.9321443384487764,343,81,1758,440
2,0.9507432020605179,0.9645338095102491,327,97,1759,439
3,0.9495234252482806,0.9630891394625857,350,74,1759,439
4,0.9507027420343137,0.9418398677373642,337,87,1758,440
5,0.9452202159571663,0.9370269909344262,339,85,1758,440
