fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9152589590983918,0.7677850801337485,17,8,301,75
2,0.9127446425806144,0.9140403083998376,20,5,300,76
3,0.9146662387676509,0.9865403788634097,20,5,301,75
4,0.9095470043838285,0.995724907063197,23,2,301,75
5,0.9100257881164149,0.5605012964563526,20,5,301,75
