fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9517177506727711,0.8811200824600585,19,8,551,138
2,0.946212415031946,0.9293685756240823,25,2,551,138
3,0.9445809111588526,0.9722190001159958,21,6,552,137
4,0.9412980787236433,0.8535915594739124,22,5,551,138
5,0.9492628351490638,0.966663204901859,21,6,551,138
