fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9186387051483602,0.8738498192573119,41,9,745,186
2,0.91336326678186,0.9300659754948162,40,10,745,186
3,0.9190689210705891,0.7903344358691657,39,11,745,186
4,0.9182425698928353,0.9062906901041666,42,8,744,187
5,0.8974478981741497,0.9466040399965421,38,12,745,186
