fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9447554420405982,0.9282033131157124,200,49,1284,320
2,0.9392058242673316,0.9459938487202211,188,61,1283,321
3,0.9433553901698334,0.9356988385090149,204,45,1283,321
4,0.941686350443413,0.9477569038627877,198,51,1283,321
5,0.9414884559685651,0.9431152120854307,206,43,1283,321
