fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9283607934665555,0.8375760434627021,67,21,1205,301
2,0.9380038183001098,0.9717815601973083,70,18,1204,302
3,0.9350739928158138,0.9260834825325895,70,18,1205,301
4,0.9336134333957078,0.9427805778870052,68,20,1205,301
5,0.928539379099355,0.9098181486991105,77,11,1205,301
