fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9260368278357072,0.8609149035886449,87,16,848,212
2,0.910727366597198,0.9323193012313545,77,26,848,212
3,0.9132482137461314,0.9565762831235144,78,25,848,212
4,0.9164921606311135,0.9591490393357173,90,13,848,212
5,0.927290579713379,0.8348837209302326,80,23,848,212
