fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9142850563065656,0.9061299336360461,25,9,281,71
2,0.9187843906141294,0.9769860876348979,28,6,282,70
3,0.9330934187302493,0.5233559498956158,29,5,282,70
4,0.9203299941072481,0.7744517368336802,26,8,282,70
5,0.9188631176689135,0.9350949204720369,28,6,281,71
