fold,train_c,test_c,events_train,events_test,n_ids_train,n_ids_test
1,0.9050409994404626,0.9104143680274611,107,23,941,235
2,0.9080802063915483,0.8288936384646127,110,20,941,235
3,0.8892852102577177,0.9520472717687374,96,34,941,235
4,0.8841780581467953,0.9189599588842685,97,33,940,236
5,0.9118659463394638,0.7995169447893637,110,20,941,235
